LN854563.1	β.2.3.1.3
LC122709.1	β.2.3.1.2
MT357897.1	β.2.6.2.1
MN448477.1	β.2.2.1.1
MG495078.1	β.1.1.17
MW305524.1	β.1.1.2.19
AB039780.1	β.1.3.2.2
KX158285.1	β.6
OP609646.1	β.1.1.2.71
LC209478.1	β.1.1.2.7
MH218687.1	β.1.3.1.35
MK733201.1	β.1.1.18
MZ220330.1	β.2.1.5.1
FJ692501.1	β.1.8
MW305701.1	β.1.1.2.20
MZ265003.1	β.1.1.2.24
KX907730.1	β.2.6.2.2
MT233270.1	β.1.1.2.7
MW581009.1	β.1.1.2.14
KX907729.1	β.2.6.1.1
MH638229.1	β.2.1.5.2
OP162334.1	β.2.2.2.2
KF429780.1	β.1.1.2.63
U07611.2	β.1.1.2.23
KP407451.1	β.2.1.3.3
MW305614.1	β.1.3.1.10
OR397778.1	β.1.1.2.23
MK067290.1	β.1.4.1.1
MW305505.1	β.2.5
MF352142.1	β.1.1.6.1
FJ537135.1	β.1.1.2.12
MW305536.1	β.1.1.2.24
GQ845368.2	β.1.1.2.61
OR536461.1	β.1.3.1.2
MK073892.1	β.2.2.2.2
MW305622.1	β.1.1.2.8
MW305503.1	β.2.5
MH218727.1	β.2.2.1.3
LC209467.1	β.1.1.2.7
PV394763.1	β.1.1.2.11
MZ215727.2	β.2.6.2.5
ON076888.1	β.4.1.4.6
MH218721.1	β.2.2.2.2
PV394767.1	β.1.1.2.11
MK159169.1	β.4.1.2.2
MW305516.1	β.1.3.1.9
KC810030.1	β.1.1.2.59
MW009072.1	β.1.1.4.1
PV232426.1	β.1.1.2.32
KJ194510.1	β.2.2.1.14
OP205529.1	β.1.1.5.2
LC877023.1	β.1.3.1.1
PV275066.1	β.1.1.2.32
LC769704.1	β.1.1.2.34
LC122932.1	β.1.3.1.7
MZ462932.1	β.2.2.2.2
OP162341.1	β.2.3.1.1
MW305712.1	β.1.1.2.38
KM198503.1	β.1.1.2.6
OR536443.1	β.1.3.1.2
LC848164.1	β.2.2.2.1
MN453359.1	β.1.1.9
NC_044855.1	β.1.10
GU930737.1	β.1.3.1.25
PV746280.1	β.1.3.1.21
PQ585620.1	β.2.5
MK762627.1	β.1.1.2.10
PZ043823.1	β.1.4.2.2
AB985418.2	β.1.13
AB220923.1	β.1.1.2.21
NC_040876.1	β.1.3.1.10
PV394760.1	β.1.1.2.11
AB045603.2	β.1.1.2.20
MH218723.1	β.2.2.2.2
OR536457.1	β.1.3.1.2
MF140664.1	β.1.1.2.27
OP690427.1	β.1.1.2.10
LC769689.1	β.1.1.2.30
OK032546.2	β.4.1.2.1
MN453358.1	β.1.1.11
MT372465.1	β.2.1.2.1
MG557651.1	β.2.6.2.8
OR536441.1	β.1.3.1.11
MH218735.1	β.1.1.1.1
MK753013.1	β.1.1.1.3
MH218729.1	β.2.2.1.3
MZ279714.1	β.1.1.2.33
MT316122.1	β.1.1.2.24
MH702278.1	β.1.1.2.38
PP564824.1	β.2.2.2.1
MG733286.1	β.1.1.2.57
LC122931.1	β.1.3.1.7
GQ845370.2	β.1.1.2.6
PV839786.1	β.2.2.1.8
AF093797.1	β.2.5
MT008460.1	β.2.3.3.2
MW305729.1	β.1.1.2.12
LC122857.1	β.1.1.4.1
OR536444.1	β.1.3.1.2
MT242482.1	β.1.1.2.8
MW305676.1	β.1.1.2.6
MW305600.1	β.1.1.2.35
PV418616.1	β.1.7.1
KX907731.1	β.2.7
MZ229330.1	β.2.3.1.7
LC769710.1	β.2.2.2.1
MH218649.1	β.2.1.2.2
LC122715.1	β.2.2.1.2
OR536451.1	β.1.3.1.2
OR397766.1	β.1.1.2.23
LC122724.1	β.1.1.2.20
KY442320.1	β.1.1.2.37
NC_029646.1	β.1.1.2.20
PQ100946.1	β.1.3.1.1
KF429784.1	β.1.1.2.63
LC122858.1	β.1.1.4.1
MK764020.1	β.1.1.2.24
KU306738.1	β.1.1.6.2
OP162337.1	β.2.2.1.3
MK753014.1	β.1.1.1.3
OP609645.1	β.1.1.2.36
MT372469.1	β.2.6.2.9
LC122768.1	β.1.1.2.21
MK067294.1	β.1.4.3
MK753011.1	β.1.1.1.3
MW305697.1	β.1.1.2.15
MW305595.1	β.1.1.2.41
PQ273187.1	β.1.3.1.19
JF781268.1	β.1.4.4.2
MT242490.1	β.1.1.2.8
EU794907.1	β.4.1.3
KF429787.1	β.1.1.2.39
LC122925.1	β.1.3.1.7
MN400355.2	β.1.1.2.42
