MZ096508.1	R1
MZ096519.1	R1
MZ097274.1	R3
LC600809.1	R1
MW552215.1	R2
MW552226.1	R2
MW552831.1	R2
LC634422.1	R4
MW280911.1	R2
MW275249.1	R2
MT784783.1	R1
MT784784.1	R1
MW292229.1	R2
MT234362.1	R2
MT876637.1	R1
MN478973.1	R1
MN478983.1	R1
MN478985.1	R1
MN479012.1	R1
MN479075.1	R2
MN479121.1	R1
MT579313.1	R1
MT579317.1	R1
MT579366.1	R1
MT579378.1	R1
MT579381.1	R1
MT579407.1	R1
MT579408.1	R2
MT579414.1	R2
MT579417.1	R2
LC569880.1	R1
LC569891.1	R1
LC569054.1	R3
MT364824.1	R3
MT364857.1	R3
LC576608.1	R3
MT025906.1	R1
MT066200.1	R1
MT796870.1	R2
MT226612.1	R2
MT271028.1	R1
MT723906.1	R2
MN632906.1	R2
LC553584.1	R2
LC553595.1	R2
LC553606.1	R2
LC553617.1	R2
LC553628.1	R2
MN481630.1	R4
LC528252.1	R9
MN528075.1	R8
MN528086.1	R8
MN528101.1	R8
MN528116.1	R8
MN433617.1	R3
MN539284.1	R3
MN551587.1	R8
MN365901.1	R6
MN365912.1	R6
MN365923.1	R6
MN365934.1	R6
MN067444.1	R2
MN067455.1	R2
MN029115.1	R2
MN102365.1	R1
MN626420.1	R2
MK272896.1	R3
MN556667.1	R1
MK893920.1	R3
MK936397.1	R1
MK936398.1	R1
MK936399.1	R1
MK936400.1	R1
MK936401.1	R1
MK638870.1	R2
MK302423.1	R2
MK597960.1	R1
MK597971.1	R1
MK597982.1	R1
MK606439.1	R2
MK692877.1	R4
MH267269.1	R1
MH267270.1	R1
MH308715.1	R1
MH697613.1	R1
MH697624.1	R1
MH697635.1	R1
MH697646.1	R1
MK953566.1	R1
MK953575.1	R1
MK953584.1	R1
MK953602.1	R1
MK250424.1	R2
MN066811.1	R1
MK227388.1	R1
MK227398.1	R1
MK379316.1	R1
MK379516.1	R1
MG926767.1	R2
LC460426.1	R2
LC469411.1	R2
MK026435.1	R1
MH898987.1	R1
MK410286.1	R1
LC433785.1	R1
LC433807.1	R1
LC460246.1	R2
LC467903.1	R2
LC467925.1	R2
LC467936.1	R2
MH624173.1	R1
MH238195.1	R1
MH238196.1	R1
MH238198.1	R1
MH238199.1	R1
MH238200.1	R1
MH238201.1	R1
MH238202.1	R1
MH238203.1	R1
MH238205.1	R1
MH238206.1	R1
MH238207.1	R1
MH238209.1	R1
MH238210.1	R1
MH238212.1	R1
MH238214.1	R1
MH238215.1	R1
MH238216.1	R1
MH238218.1	R1
LC438379.1	R1
MG407645.1	R1
LC438390.1	R2
MH568745.1	R4
MH568756.1	R4
MH910063.1	R1
MH910074.1	R1
MH668307.1	R4
MG214337.1	R2
MG781032.1	R1
MG781042.1	R1
LC389885.1	R1
MF940585.1	R1
MF940587.1	R1
MF940638.1	R2
MF940639.1	R2
MF940640.1	R2
MF940641.1	R2
MF940693.1	R1
MF940695.1	R1
MF940697.1	R1
LC336591.1	R2
LC208545.1	R4
LC367314.1	R2
LC340013.1	R2
LC340024.1	R3
LC326509.1	R3
LC328188.1	R3
LC328189.1	R3
MH137269.1	R1
KY937203.1	R1
KY497497.1	R1
LC328222.1	R3
LC328223.1	R3
LC328224.1	R3
LC328225.1	R3
LC328226.1	R3
LC328227.1	R3
MG181227.1	R1
KX880439.1	R2
KX265690.1	R2
KY113330.1	R2
KY113337.1	R2
KY055427.1	R2
KX988275.1	R1
LC095880.1	R1
LC095891.1	R1
LC095913.1	R1
LC095924.1	R1
LC095935.1	R1
LC095946.1	R1
KY634814.1	R1
KX814924.1	R3
KX814945.1	R3
KU956006.1	R2
KU739899.1	R1
KU739900.1	R1
KU739901.1	R1
KU739902.1	R1
KU739903.1	R1
KU739904.1	R1
KU739905.1	R1
KU739906.1	R1
KU739907.1	R1
KY426809.1	R2
KY053144.1	R1
KY053208.1	R1
KX212875.1	R2
LC178564.1	R2
LC208011.1	R1
KX548936.1	R2
LC190486.1	R1
KT887520.1	R5
KT887531.1	R2
KT878995.1	R5
KR705146.1	R2
KR705278.1	R2
LC095902.1	R1
LC095957.1	R2
KU962128.1	R2
KU508380.1	R2
LC169929.1	R2
LC158119.1	R2
LC133514.1	R2
LC133525.1	R2
LC133536.1	R2
LC133547.1	R2
LC133558.1	R2
LC133569.1	R2
KU128892.1	R2
KU363137.1	R1
KU363138.1	R1
KX362689.1	R1
KX362711.1	R2
KX363276.1	R1
KX363304.1	R1
KX363326.1	R1
KX363327.1	R1
KX363345.1	R1
KX363356.1	R1
KX363367.1	R1
KX363378.1	R1
KX363389.1	R1
KX363399.1	R1
KX363410.1	R1
KX363421.1	R1
KT934648.1	R4
KT281120.1	R2
KU243521.1	R3
KU243533.1	R3
KU243539.1	R3
KU243540.1	R3
KU243541.1	R3
KU243544.1	R3
KU243547.1	R3
LC119093.1	R2
LC119104.1	R2
KT873808.1	R4
KU708259.1	R2
KU587853.1	R4
KT920606.1	R2
LC061616.1	R1
LC061617.1	R1
KP882475.1	R2
KP882607.1	R2
KP882629.1	R2
KP882684.1	R2
KP882926.1	R2
KP883025.1	R2
KP883135.1	R2
KP883179.1	R2
KM393170.1	R1
LC088096.2	R4
LC088107.1	R4
LC088115.1	R4
LC088125.1	R6
KR632623.1	R1
LC065020.1	R2
KM254178.1	R6
LC055547.1	R2
KR086407.1	R9
KF726036.1	R1
KF726058.1	R1
KF726069.1	R1
KR052725.1	R1
KR052735.1	R1
KP198639.1	R2
KP198650.1	R2
KP752505.1	R2
KP752767.1	R1
KP752856.1	R1
KP752923.1	R1
KP752959.1	R1
KP753006.1	R1
KP753122.1	R1
KP753190.1	R1
KP258398.1	R2
AB908912.1	R2
AB908934.1	R2
AB924084.1	R1
AB924095.1	R1
AB924106.1	R1
KJ875791.1	R3
LC001939.1	R2
LC001945.1	R2
LC001950.1	R2
KP006506.1	R2
KM454481.1	R2
KM454503.1	R9
KJ820825.1	R3
KJ820836.1	R1
KM660262.1	R1
LC000533.1	R1
KJ020891.1	R3
KM820695.1	R1
KM820696.1	R1
KM820697.1	R1
KM820699.1	R1
KM820700.1	R1
KM820701.1	R1
KF907278.1	R3
KJ411432.1	R3
KF812721.1	R1
AB971553.1	R2
AB971554.1	R2
KJ725017.1	R4
KJ879448.1	R3
KJ919337.1	R2
KJ919361.1	R2
KJ919364.1	R2
KJ919370.1	R2
KJ919371.1	R2
KJ919378.1	R2
HG513045.1	R1
KF541281.1	R2
AB972856.1	R2
KJ803835.1	R2
KJ870878.1	R2
KJ870889.1	R2
KJ870900.1	R1
KJ748465.1	R2
KC610678.1	R1
KC610689.1	R1
KC610700.1	R1
KJ753357.1	R2
KJ751624.1	R2
KJ751867.1	R1
KJ752483.1	R1
KJ752618.1	R2
AB853890.1	R2
KF035107.1	R1
KF371915.1	R1
KJ559162.1	R1
KJ412564.1	R1
KJ412598.1	R3
KJ412620.1	R3
KJ412677.1	R3
KJ412797.1	R3
KJ412819.1	R3
KJ412882.1	R3
KJ187599.1	R2
KF500519.1	R2
KF500174.1	R1
KF835889.1	R1
KF835890.1	R1
KF835891.1	R1
KF835892.1	R1
KF835893.1	R1
KF835894.1	R1
KF835895.1	R1
KF835896.1	R1
KF690125.1	R3
AB770155.1	R1
KF577838.1	R5
KC412043.1	R1
KC412052.1	R1
KC960619.1	R3
KF447839.1	R1
KF636256.1	R2
KC815658.1	R2
KC815669.1	R2
KC815680.1	R2
KC815694.1	R2
KC488885.1	R2
AB763956.1	R2
AB763957.1	R2
JX195074.1	R1
JX271001.1	R2
JX946159.1	R3
JX946168.1	R3
KC769371.1	R1
JQ988899.1	R1
AB749779.1	R2
AB749786.1	R2
AB749787.1	R2
AB749794.1	R2
AB749800.1	R2
AB741649.1	R1
KC178764.1	R2
KC174866.1	R2
KC175017.1	R2
KC175126.1	R2
KC175137.1	R2
KC175269.1	R2
KC215476.1	R2
KC215529.1	R2
KC579531.1	R1
KC579553.1	R1
KC579564.1	R1
KC579869.1	R1
KC579914.1	R1
KC580005.1	R1
KC580188.1	R1
KC443466.1	R2
KC443587.1	R2
KC140590.1	R1
KC139781.1	R1
AB779622.1	R1
AB779623.1	R1
AB779624.1	R1
AB779625.1	R1
AB748573.1	R2
AB748575.1	R2
JX416211.1	R2
JX416218.1	R1
JX204811.1	R4
JX204822.1	R4
AB733133.2	R2
JQ004970.1	R2
JX567760.1	R2
JN706463.1	R1
JX036365.1	R3
JQ423902.1	R3
JX094028.1	R2
JX402791.1	R2
JQ309138.1	R1
JN129055.1	R1
JQ713645.1	R3
JX027791.1	R1
JQ993321.1	R1
JF521461.1	R1
JF521472.1	R1
JF693026.1	R2
JF693037.1	R2
JF693059.1	R2
JN104611.1	R1
JN104619.1	R1
JN831220.1	R2
JN831231.1	R2
JN903527.1	R2
JN903528.1	R2
JN872865.1	R2
HQ540509.1	R7
JF781158.1	R1
JN635554.1	R1
JF796701.1	R1
JF796712.1	R1
JF796723.1	R1
